Category;KNMI'14-klimaatscenario's;KNMI'14-klimaatscenario's 2050 (WH-range) (low);KNMI'14-klimaatscenario's 2050 (WH-range) (high);KNMI'14-klimaatscenario's 2050 (WH);KNMI'14-klimaatscenario's 2085 (WH-period);KNMI'14-klimaatscenario's 2085 (WH-range) (low);KNMI'14-klimaatscenario's 2085 (WH-range) (high);KNMI'14-klimaatscenario's 2085 (WH);KNMI'14-klimaatscenario's 2050 (WL-period);KNMI'14-klimaatscenario's 2050 (WL-range) (low);KNMI'14-klimaatscenario's 2050 (WL-range) (high);KNMI'14-klimaatscenario's 2050 (WL);KNMI'14-klimaatscenario's 2085 (WL-period);KNMI'14-klimaatscenario's 2085 (WL-range) (low);KNMI'14-klimaatscenario's 2085 (WL-range) (high);KNMI'14-klimaatscenario's 2085 (WL);KNMI'14-klimaatscenario's 2050 (GH-period);KNMI'14-klimaatscenario's 2050 (GH-range) (low);KNMI'14-klimaatscenario's 2050 (GH-range) (high);KNMI'14-klimaatscenario's 2050 (GH);KNMI'14-klimaatscenario's 2085 (GH-period);KNMI'14-klimaatscenario's 2085 (GH-range) (low);KNMI'14-klimaatscenario's 2085 (GH-range) (high);KNMI'14-klimaatscenario's 2085 (GH);KNMI'14-klimaatscenario's 2050 (GL-period);KNMI'14-klimaatscenario's 2050 (GL-range) (low);KNMI'14-klimaatscenario's 2050 (GL-range) (high);KNMI'14-klimaatscenario's 2050 (GL);KNMI'14-klimaatscenario's 2085 (GL-period);KNMI'14-klimaatscenario's 2085 (GL-range) (low);KNMI'14-klimaatscenario's 2085 (GL-range) (high);KNMI'14-klimaatscenario's 2085 (GL);Verwachting;Verwachting 2023;Max_deficit;Trendline;Normaal;Normaal 1960;Normaal 1990;Normaal 2020
1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141;154;;;143;
1981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122;155;;;143;
1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203;156;;;143;
1983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207;157;;;143;
1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133;157;;;143;
1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;157;;;143;
1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179;156;;;143;
1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;156;;;143;
1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134;155;;;143;
1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;236;153;;;143;
1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201;152;;;143;
1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;151;;;;160
1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168;151;;;;160
1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121;150;;;;160
1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168;150;;;;160
1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;211;150;;;;160
1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;150;;;;160
1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;150;;;;160
1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;151;;;;160
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165;151;;;;160
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;151;;;;160
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;154;152;;;;160
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;152;;;;160
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244;153;;;;160
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;155;;;;160
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;157;;;;160
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205;159;;;;160
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106;162;;;;160
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163;164;;;;160
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;166;;;;160
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;169;;;;160
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165;171;;;;160
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;174;;;;160
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202;176;;;;160
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;179;;;;160
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201;182;;;;160
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;184;;;;160
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165;187;;;;160
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;308;190;;;;160
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;214;193;;;;160
2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;253;195;;;;160
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;198;;;;
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;318;201;;;;
2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;217;204;;204;;;;
2035;199;179;219;;;;;;154;134;174;;;;;;184;164;204;;;;;;160;140;180;;;;;;;;;;;;;
2050;;;;199;;;;;;;;154;;;;;;;;184;;;;;;;;160;;;;;;;;;;;;
2065;199;179;219;;;;;;154;134;174;;;;;;184;164;204;;;;;;160;140;180;;;;;;;;;;;;;
2070;;;;;230;210;250;;;;;;174;154;194;;;;;;182;162;202;;;;;;155;135;175;;;;;;;;;
2085;;;;;;;;230;;;;;;;;174;;;;;;;;182;;;;;;;;155;;;;;;;;
2100;;;;;230;210;250;;;;;;174;154;194;;;;;;182;162;202;;;;;;155;135;175;;;;;;;;;
